flow_id,src_ip,src_port,dest_ip,dest_port,timestamp,category,signature,severity,proto
620925549761330,10.240.105.57,44391,10.47.3.218,80,2018-03-23T16:25:23.232831-0600,Web Application Attack,ET WEB_SERVER Possible IIS Integer Overflow DoS (CVE-2015-1635),1,TCP
1305907848468700,10.128.0.241,43151,10.47.3.1,80,2018-03-23T14:02:50.783248-0600,Attempted Administrator Privilege Gain,ET WEB_SERVER Possible CVE-2014-6271 Attempt,1,TCP
371877947349684,10.128.0.207,46507,10.47.27.150,8080,2018-03-23T18:01:00.535552-0600,Misc activity,ET EXPLOIT Serialized Java Object Calling Common Collection Function,3,TCP
2092017936210424,10.128.0.221,39680,10.47.1.30,8080,2018-03-23T14:22:33.332944-0600,Misc activity,ET EXPLOIT Serialized Java Object Calling Common Collection Function,3,TCP
612008923360303,10.47.8.152,49706,104.28.1.171,80,2018-03-23T15:15:37.546259-0600,A Network Trojan was detected,ET CURRENT_EVENTS SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016,1,TCP
254433264977483,10.128.0.241,40005,10.47.8.20,80,2018-03-23T13:58:24.603886-0600,Attempted Administrator Privilege Gain,ET EXPLOIT NETGEAR WNR2000v5 hidden_lang_avi Stack Overflow (CVE-2016-10174),1,TCP
646613369275054,10.128.0.218,45214,10.47.6.150,23,2018-03-23T14:48:46.843722-0600,Attempted User Privilege Gain,ET EXPLOIT Cisco Catalyst Remote Code Execution (CVE-2017-3881),1,TCP
1676926003185073,10.47.8.151,445,10.128.0.207,46564,2018-03-23T12:09:00.684377-0600,A Network Trojan was detected,ET EXPLOIT Possible DOUBLEPULSAR Beacon Response,1,TCP
1997050537987897,10.128.0.218,43339,10.47.25.81,445,2018-03-23T17:38:28.168615-0600,A Network Trojan was detected,ET EXPLOIT Possible ETERNALBLUE MS17-010 Heap Spray,1,TCP
481574259938195,10.47.1.10,445,10.128.0.207,48026,2018-03-23T11:51:47.805788-0600,A Network Trojan was detected,ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response,1,TCP
2175950094958183,10.128.0.210,33025,10.47.3.218,445,2018-03-23T13:58:55.797812-0600,Attempted Administrator Privilege Gain,ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010,1,TCP
1692774198650835,10.128.0.207,45941,10.47.41.32,445,2018-03-24T14:27:56.168865-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Samba Arbitrary Module Loading Vulnerability (.so file write to share) (CVE-2017-7494),1,TCP
1094626988297961,10.128.0.207,40625,10.47.41.32,445,2018-03-24T14:27:56.632897-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Samba Arbitrary Module Loading Vulnerability (NT Create AndX .so) (CVE-2017-7494),1,TCP
201680350861645,10.128.0.215,50175,10.47.8.1,80,2018-03-23T14:03:55.908811-0600,Web Application Attack,ET SCAN Possible Nmap User-Agent Observed,1,TCP
709901703974924,10.47.5.151,64236,172.217.5.74,80,2018-03-23T14:09:08.995156-0600,Potential Corporate Privacy Violation,ET POLICY Outdated Flash Version M2,1,TCP
1260309015128755,10.47.25.25,63379,204.79.197.200,80,2018-03-23T17:35:03.761270-0600,Attempted User Privilege Gain,ET CURRENT_EVENTS SUSPICIOUS Possible CVE-2017-0199 IE7/NoCookie/Referer HTA dl,1,TCP
320183388601979,10.128.0.245,51140,10.47.5.142,80,2018-03-23T16:35:20.859264-0600,Attempted User Privilege Gain,ET EXPLOIT Apache Struts 2 REST Plugin XStream RCE (ProcessBuilder),1,TCP
758309034763337,10.128.0.207,36541,10.47.27.80,8080,2018-03-23T17:58:29.194672-0600,Attempted User Privilege Gain,ET EXPLOIT Apache Struts 2 REST Plugin (ProcessBuilder),1,TCP
